Town,Total,Date,Year,Month,Day,lng,lat,Population
DESPOTOVAC,0,07-Mar-20,2020,3,7,21.444,44.0932,23191
DIMITROVGRAD,0,07-Mar-20,2020,3,7,22.7776,43.0155,10118
DOLJEVAC,0,07-Mar-20,2020,3,7,21.8334,43.1968,18463
GADŽIN HAN,0,07-Mar-20,2020,3,7,22.0333,43.2223,8389
GLOGOVAC,0,07-Mar-20,2020,3,7,20.8905,42.6211,
GNJILANE,0,07-Mar-20,2020,3,7,21.4694,42.4635,
GOLUBAC,0,07-Mar-20,2020,3,7,21.6308,44.6529,8331
GORA,0,07-Mar-20,2020,3,7,20.6512,42.0615,
GORNJI MILANOVAC,0,07-Mar-20,2020,3,7,20.4586,44.0245,44406
INĐIJA,0,07-Mar-20,2020,3,7,20.0816,45.0482,47433
IRIG,0,07-Mar-20,2020,3,7,19.8603,45.1001,10866
ISTOK,0,07-Mar-20,2020,3,7,20.4911,42.782,
IVANJICA,0,07-Mar-20,2020,3,7,20.2284,43.582,31963
JAGODINA,0,07-Mar-20,2020,3,7,21.2583,43.9791,71852
KAČANIK,0,07-Mar-20,2020,3,7,21.2569,42.2279,
KANJIŽA,0,07-Mar-20,2020,3,7,20.0504,46.0635,25343
KIKINDA,0,07-Mar-20,2020,3,7,20.4682,45.8323,59453
KLADOVO,0,07-Mar-20,2020,3,7,22.6155,44.6073,20635
KLINA,0,07-Mar-20,2020,3,7,20.5782,42.6193,
KNIĆ,0,07-Mar-20,2020,3,7,20.7197,43.927,14237
KNJAŽEVAC,0,07-Mar-20,2020,3,7,22.2539,43.5667,31491
KOCELJEVA,0,07-Mar-20,2020,3,7,19.8214,44.4687,13129
KOSJERIĆ,0,07-Mar-20,2020,3,7,19.9079,43.9987,12090
KOSOVO POLJE,0,07-Mar-20,2020,3,7,21.0931,42.6374,
KOSOVSKA KAMENICA,0,07-Mar-20,2020,3,7,21.5737,42.5876,
KOSOVSKA MITROVICA,0,07-Mar-20,2020,3,7,20.866,42.8914,
KOSTOLAC,0,07-Mar-20,2020,3,7,21.1751,44.722,13637
KOVAČICA,0,07-Mar-20,2020,3,7,20.6236,45.1109,25274
KOVIN,0,07-Mar-20,2020,3,7,20.9766,44.7482,33722
KRAGUJEVAC,0,07-Mar-20,2020,3,7,20.92,44.02,179417
KRALJEVO,0,07-Mar-20,2020,3,7,20.6896,43.7259,125488
KRUPANJ,0,07-Mar-20,2020,3,7,19.3633,44.3676,17295
KRUŠEVAC,0,07-Mar-20,2020,3,7,21.3352,43.581,128752
KUČEVO,0,07-Mar-20,2020,3,7,21.6712,44.4767,15516
KULA,0,07-Mar-20,2020,3,7,19.5274,45.6109,43101
KURŠUMLIJA,0,07-Mar-20,2020,3,7,21.2735,43.139,19213
LAJKOVAC,0,07-Mar-20,2020,3,7,20.1644,44.37,15475
LAPOVO,0,07-Mar-20,2020,3,7,21.0969,44.1877,7837
LEBANE,0,07-Mar-20,2020,3,7,21.7294,42.9171,22000
LEPOSAVIĆ,0,07-Mar-20,2020,3,7,20.8011,43.1016,
LESKOVAC,0,07-Mar-20,2020,3,7,21.9445,42.9976,144206
LIPLJAN,0,07-Mar-20,2020,3,7,21.1225,42.5258,
LJIG,0,07-Mar-20,2020,3,7,20.2394,44.2266,12754
LJUBOVIJA,0,07-Mar-20,2020,3,7,19.3785,44.1896,14469
LOZNICA,0,07-Mar-20,2020,3,7,19.2427,44.5312,79327
LUČANI,0,07-Mar-20,2020,3,7,20.1384,43.8608,20897
MAJDANPEK,0,07-Mar-20,2020,3,7,21.9358,44.4228,18686
MALI IĐOŠ,0,07-Mar-20,2020,3,7,19.6663,45.7092,12031
MALI ZVORNIK,0,07-Mar-20,2020,3,7,19.1214,44.3992,12482
MALO CRNIĆE,0,07-Mar-20,2020,3,7,21.2906,44.5603,11458
MEDVEĐA,0,07-Mar-20,2020,3,7,21.5858,42.842,7438
